taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
5757;2016.12.10 18:45;360;0,7;5,75;0;készpénz
4097;2016.12.09 20:45;300;2,9;9,75;0;készpénz
6197;2016.12.13 11:00;300;2,5;9;0;készpénz
1262;2016.12.15 10:00;240;0;5;0;készpénz
293;2016.12.29 13:15;611;1,67;8,75;3;bankkártya
53;2016.12.18 1:15;300;0;5,5;0;készpénz
3338;2016.12.31 21:45;2400;26,7;64;0;készpénz
2341;2016.12.08 0:30;1200;7;21;0;készpénz
6923;2016.12.20 17:00;240;0;4,25;0;készpénz
8315;2016.12.20 18:45;780;1;8;2;bankkártya
8350;2016.12.26 7:45;420;1,6;7,5;2;bankkártya
2163;2016.12.14 7:30;660;3,4;11,5;0;készpénz
4846;2016.12.01 18:15;3480;20,6;55,75;11,95;bankkártya
4715;2016.12.30 22:15;540;4,3;13,5;0;készpénz
7723;2016.12.05 15:00;0;0;3,25;0;bankkártya
4494;2016.12.27 21:00;300;0,9;5,5;0;készpénz
8170;2016.12.13 21:00;480;2,6;9,75;0,25;bankkártya
2179;2016.12.11 11:00;360;1,1;6,5;0;készpénz
3207;2016.12.08 19:30;1620;14,3;36,5;8;bankkártya
7468;2016.12.26 16:45;1080;0,4;21;3;bankkártya
7937;2016.12.28 14:00;480;1,2;7,5;3;bankkártya
3235;2016.12.27 13:45;300;0,8;6;0;készpénz
4586;2016.12.15 11:00;1380;17,6;43,25;13,75;bankkártya
3504;2016.12.16 15:00;540;1,4;7,5;2;bankkártya
3717;2016.12.29 17:00;702;1,51;9,25;2;bankkártya
7097;2016.12.14 11:15;1020;4,7;16;2;bankkártya
3645;2016.12.01 10:30;1080;1,8;10,75;0;készpénz
8271;2016.12.03 15:15;240;0,5;5;0;készpénz
8661;2016.12.02 18:15;0;0;3,25;0;készpénz
2503;2016.12.16 17:45;780;1;8,25;0;bankkártya
5704;2016.12.13 12:15;180;0,5;4,75;2;bankkártya
8396;2016.12.02 14:15;2100;10,2;30;0;készpénz
1901;2016.12.09 15:15;840;0;9,5;0;készpénz
3469;2016.12.09 17:45;1500;2,2;13;0;készpénz
4710;2016.12.21 11:45;300;0,5;5;0;készpénz
3723;2016.12.12 8:45;540;1,4;8;0;készpénz
1390;2016.12.07 17:15;2460;12,8;33,5;7;bankkártya
6054;2016.12.13 18:30;1800;3,1;16;0;készpénz
8565;2016.12.30 17:30;240;0,7;5,25;0;készpénz
920;2016.12.02 17:30;1500;1,6;12,5;0;készpénz
1098;2016.12.04 15:45;600;0;9,5;0;készpénz
1746;2016.12.09 19:15;360;0,9;5,75;2;bankkártya
3237;2016.12.12 13:15;240;0,7;5,5;0;készpénz
4593;2016.12.15 20:45;0;0,1;3,25;0;készpénz
4870;2016.12.13 20:15;120;0;3,75;0;készpénz
2329;2016.12.18 11:45;600;0,1;8,75;0;készpénz
4017;2016.12.16 23:30;0;0;6,75;1,5;bankkártya
3573;2016.12.18 15:15;180;0,7;5;0;készpénz
1620;2016.12.05 7:30;660;2;9,25;2;bankkártya
4017;2016.12.19 19:00;0;0;4,75;2;bankkártya
2186;2016.12.15 21:15;480;1,6;7,5;0;készpénz
340;2016.12.08 10:30;2340;17,1;42,5;5;bankkártya
5548;2016.12.16 9:00;540;2;9;0;készpénz
6727;2016.12.19 8:30;420;0,9;6,25;2;bankkártya
1944;2016.12.20 19:15;420;1,1;6,5;0;készpénz
5619;2016.12.13 17:45;420;0,9;6;0;készpénz
5178;2016.12.01 22:15;180;0,9;5,25;0;készpénz
4401;2016.12.22 9:15;1020;6,2;18,5;5;bankkártya
4813;2016.12.02 18:15;540;1,1;7,25;1;bankkártya
6117;2016.12.06 5:15;1;0,02;3,25;0;készpénz
6923;2016.12.02 19:45;900;0,1;9,25;0;készpénz
7368;2016.12.24 13:15;240;0,9;5,25;0;készpénz
4443;2016.12.13 14:45;420;0,8;6,25;0;készpénz
3595;2016.12.03 13:30;360;0,9;5,75;0;készpénz
65;2016.12.24 16:30;1260;3,6;13,5;0;készpénz
2435;2016.12.02 21:15;180;0,4;4,5;0;készpénz
6101;2016.12.18 1:15;480;0,9;6,75;2;bankkártya
1611;2016.12.21 12:00;480;0,9;6,5;1,5;bankkártya
4456;2016.12.02 8:45;780;4,1;12,5;2;bankkártya
109;2016.12.14 19:00;540;0,8;6,5;0;készpénz
7766;2016.12.02 13:45;360;4,1;13;0;készpénz
3895;2016.12.04 15:30;4080;13,7;41;0;készpénz
6025;2016.12.02 18:30;180;0,4;4,5;0;készpénz
8479;2016.12.01 20:45;578;1,75;8,25;3;bankkártya
6159;2016.12.08 7:30;660;1,1;7,75;1;bankkártya
901;2016.12.14 22:00;540;1,8;8,25;2;bankkártya
7810;2016.12.17 13:15;60;0;0,01;0;készpénz
1447;2016.12.19 18:00;1440;7;22,25;0;készpénz
3776;2016.12.09 15:00;660;1,8;8,75;2;bankkártya
7195;2016.12.29 16:30;0;1,3;10;2;bankkártya
4770;2016.12.13 17:45;600;0;11,25;0;készpénz
5475;2016.12.20 18:00;300;0;5,5;0;készpénz
866;2016.12.09 23:30;360;1,1;6,75;0;készpénz
6798;2016.12.23 14:00;360;1;6,25;0;készpénz
2843;2016.12.09 9:15;1920;1;44,25;8,85;bankkártya
3173;2016.12.06 23:00;300;1,02;6;0;készpénz
5990;2016.12.08 21:15;540;1,8;8,25;1;bankkártya
2121;2016.12.22 14:15;420;0;6,25;2;bankkártya
3588;2016.12.02 20:00;0;0;3,25;0;készpénz
8656;2016.12.15 14:00;600;1,3;8;0;készpénz
1362;2016.12.28 15:45;540;3,6;12,5;0;készpénz
